code,title,Availabilities,Curriculum,RulesPrereqs,RulesPrereqsList,RulesCoreqs,RulesCoreqsList,RulesIncomps,RulesPrereqsList
INDO2406,"Indonesian 6",162586,"MJD-INDNP Indonesian Studies (BA|*|BModLang|*|) as core [Active]; 
MJD-INDNI Indonesian Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-INLAC Indonesian Language and Culture () as option [Active];","INDO2405 Indonesian 5 or INDO2205 Indonesian Advanced I or INDO3305 Indonesian Advanced I",,Nil.,,"INDO3306 Indonesian Advanced II or INDO2206 Indonesian Advanced II or INDO1406 Indonesian 6 or INDO3406 Indonesian 6",
INDO3405,"Indonesian 5",162587,"MJD-INDNB Indonesian Studies (BA|*|) as core [Active];","INDO2404 Indonesian 4 or INDO2204 Indonesian Intermediate II",,Nil.,,"INDO3305 Indonesian Advanced I or INDO1405 Indonesian 5 or INDO2405 Indonesian 5",
PUBH4403,"Epidemiology I",167255;167256;167257;167258;167259;167260;167261;167262;167263;167264;167265;167266;167267;167268;167269;167270;167271,"92550 Master of Public Health (coursework or coursework and dissertation) as core [Active]; 
51330 Graduate Diploma in Infectious Diseases as core [Active]; 
90690 Master of Aboriginal Health (thesis and coursework) as core [Active]; 
91550 Master of Public Health (coursework or coursework and dissertation) as core [Active]; 
90660 Master of Surgery (thesis and coursework) as core [Active]; 
90820 Doctor of Podiatry as core [Active]; 
91230 Graduate Certificate in Population Health Studies as option [Active]; 
80330 Graduate Diploma in Dental Public and Primary Health as core [Active]; 
90620 Master of Clinical Research (thesis and coursework) as core [Active]; 
90620 Master of Clinical Research (thesis and coursework) as option [Active]; 
80530 Master of Dental Public and Primary Health (coursework and dissertation) as core [Active]; 
52530 Master of Infectious Diseases (coursework and dissertation) as core [Active]; 
01810/52520 Doctor of Philosophy and Master of Infectious Diseases as core [Active]; 
90850 Doctor of Medicine as option [Active]; 
71520 Master of Biomedical Science (coursework or coursework and dissertation) as core in Biochemistry and Molecular Biology [Active]; 
71520 Master of Biomedical Science (coursework or coursework and dissertation) as option in Neuroscience [Active]; 
92510 Master of Clinical Pathology (coursework or coursework and dissertation) as core [Active]; 
91610 Master of Child Health Research (thesis and coursework) as option [Active]; 
91850 Doctor of Medicine as option [Active]; 
92210 Graduate Certificate in Environment and Health as core [Active]; 
92220 Graduate Certificate in Communicable Diseases Epidemiology as core [Active]; 
90740 Master of Clinical Science (coursework or coursework and dissertation) as option [Drafted for 2025]; 
54540 Master of Infectious Diseases (coursework or coursework and dissertation) as core [Active]; 
91830 Doctor of Podiatric Surgery as core [Active]; 
90250 Graduate Certificate in Clinical Science as option [Active]; 
93530 Master of Dental Public and Primary Health (coursework and dissertation) as core [Active]; 
93610 Master of Advanced Clinical Practice (coursework or coursework and dissertation) as option [Drafted from 2026];",Nil,,Nil.,,Nil.,
INDO3406,"Indonesian 6",162588,"MJD-INDNB Indonesian Studies (BA|*|) as core [Active];","INDO3405 Indonesian 5 or INDO3305 Indonesian Advanced I",,Nil.,,"INDO3306 Indonesian Advanced II or INDO1406 Indonesian 6 or INDO2406 Indonesian 6",
INDO3407,"Indonesian 7",162589,"MJD-INDNP Indonesian Studies (BA|*|) as core [Active]; 
MJD-INDNI Indonesian Studies (BA|*|) as core [Active];","INDO2406 Indonesian 6 or INDO2206 Indonesian Advanced II",,Nil.,,"INDO3307 Indonesian Specialist I",
INDO3408,"Indonesian 8",162590,"MJD-INDNP Indonesian Studies (BA|*|) as core [Active]; 
MJD-INDNI Indonesian Studies (BA|*|) as core [Active];","INDO3407 Indonesian 7 or INDO3307 Indonesian Specialist I",,Nil.,,"INDO3308 Indonesian Specialist II",
INDO3802,"Indonesian In-country 6",162591;162592,"MJD-INDNB Indonesian Studies (BA|*|) [Substitute units] [Active]; 
MJD-INDNP Indonesian Studies (BA|*|) [Substitute units] [Active]; 
MJD-INDNI Indonesian Studies (BA|*|) [Substitute units] [Active];","completion of one year of Indonesian language studies at this University or equivalent",,Nil.,,Nil.,
CITS3001,"Advanced Algorithms",157247,"MJD-CMPSC Computer Science (BSc|*|) as core [Active]; 
MJD-ICYDM International Cybersecurity (BACS|*|) as core [Active]; 
MJD-CDSDM Computing and Data Science (BACS|*|) as core [Active]; 
MJD-ARIDM Artificial Intelligence (BACS|*|) as core [Active]; 
MJD-QCOMP Quantum Computing (BACS|*|) as core [Active];","CITS2200 Data Structures and Algorithms",116335,Nil.,41517,Nil,116335
GRMN1401,"German Beginners 1",158712;158713,"MJD-GRMNB German Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-GRMNB German (BA|*|BCom|*|BSc|*|BBiomedSc|*|BAR|*|BMus|*|BBus|*|BEnvDes|*|BPPE|*|BEc|*|BEc (Advanced)|*|) as option [Active];",Nil.,,Nil.,,"WACE German: GER2A/2B or higher, GRMN1101 German Beginners I",
GRMN1402,"German Beginners 2",161103;170245,"MJD-GRMNB German Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-GRMNB German (BA|*|BCom|*|BSc|*|BBiomedSc|*|BAR|*|BMus|*|BBus|*|BEnvDes|*|BPPE|*|BEc|*|BEc (Advanced)|*|) as option [Active];","GRMN1401 German Beginners 1 or equivalent, with the consent of the convener",,Nil.,,"GRMN1102 German Beginners II",
GRMN1403,"German Studies 3",161108,"MJD-GRMNI German Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-GRMNB German (BA|*|BCom|*|BSc|*|BBiomedSc|*|BAR|*|BMus|*|BBus|*|BEnvDes|*|BPPE|*|BEc|*|BEc (Advanced)|*|) as option [Active];","ATAR GSL (German: Second Language) or WACE German GER2A/2B or higher or equivalent",,Nil.,,"GRMN1103 German Intermediate I",
CITS3401,"Data Warehousing",162593,"MJD-DATSC Data Science (BSc|*|) as core [Active]; 
MJD-CDSDM Computing and Data Science (BACS|*|) as core [Active];","CITS1402 Relational Database Management Systems",228520;228521;228522;228523,Nil.,41408,"CITS5504 Data Warehousing (ID 5245)",228520;228521;228522;228523
MUSC1054,"Music Theory for Electronic Musicians",162594,"MJD-MEMSD Music: Electronic Music and Sound Design (BA|*|) as core [Active]; 
MJD-MUSCO Contemporary Popular Music (BA|*|) as option [Active];",Nil,,Nil,,Nil,
GRMN1404,"German Studies 4",161111,"MJD-GRMNI German Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-GRMNB German (BA|*|BCom|*|BSc|*|BBiomedSc|*|BAR|*|BMus|*|BBus|*|BEnvDes|*|BPPE|*|BEc|*|BEc (Advanced)|*|) as option [Active];","GRMN1403 German Studies 3 or equivalent, with the consent of the convener",,Nil.,,"GRMN1104 German Intermediate II",
GRMN1405,"German Studies 5",161115,"MJD-GRMNA German Studies (BA|*|BModLang|*|) as core [Active];","approval of convener",,Nil.,,"GRMN1105 German Advanced I",
ECON4413,"Applied Advanced Econometrics",159641,"HON-ECONS Business Economics (BCom (Hons)|*|) as option [Active]; 
HON-ECNPF Economics (BEc (Hons)|*|) as core [Active]; 
HON-BUSAN Business Analytics (BCom (Hons)|*|) as option [Active]; 
HON-FINEC Financial Economics (BEc (Hons)|*|) as core [Active]; 
42620 Master of Economics (coursework or coursework and dissertation) as option [Active]; 
42630 Master of Business Analytics (coursework) as option [Active]; 
42670 Master of Economics (coursework or coursework and dissertation) as core [Active];","Enrolment in the Bachelor of Commerce (Honours) (BH002) or completion of 144 points in the Bachelor of Philosophy (Honours) (BH005).

<i> 
and ECON3371 Econometrics",174094;174095;174096;174097;174098;174099;174100;174101;174102;174103;174104,Nil.,,Nil.,174094;174095;174096;174097;174098;174099;174100;174101;174102;174103;174104
GRMN1406,"German Studies 6",162595,"MJD-GRMNA German Studies (BA|*|BModLang|*|) as core [Active];","GRMN1405 German Studies 5 or GRMN1105 German Advanced I or the consent of the convener",,Nil.,,"GRMN1106 German Advanced II",
MICR2209,"Introduction to Infectious Diseases and Immunology",162596,"MJD-MCBIM Microbiology and Immunology (BSc|*|BBiomedSc|*|) as core [Active]; 
MJD-BIOMS Biomedical Science (BSc|*|) as core [Active]; 
MJD-HSANP Human Sciences (Anatomy and Physiology) (BHumSc|*|) as core [Active]; 
MJD-PHEAL Pharmaceutical Health (BHumSc|*|) as core [Active];","(SCIE1106 Molecular Biology of the Cell <i>and</i> one of BIOL1130 Frontiers in Biology (formerly BIOL1130 Core Concepts in Biology); ANHB1101 Human Biology I: Becoming Human; ANHB1102 Human Biology II: Being Human)
OR
(IMED1001 Form and Function AND IMED1002 The Facts of Life)",252405;252406;252407;252408;252409;252410;252411;252412;252413;252414;252415;252416;252417;252418;252419;252420;252421;252422;252423;252424;252425;252426;252427;252428;252429;252430,Nil.,7090,"<i>for pre-2012 courses</i>: MICR2205 General and Applied Microbiology",252405;252406;252407;252408;252409;252410;252411;252412;252413;252414;252415;252416;252417;252418;252419;252420;252421;252422;252423;252424;252425;252426;252427;252428;252429;252430
GRMN2403,"German Studies 3",161119,"MJD-GRMNB German Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-GRMNB German (BA|*|BCom|*|BSc|*|BBiomedSc|*|BAR|*|BMus|*|BBus|*|BEnvDes|*|BPPE|*|BEc|*|BEc (Advanced)|*|) as option [Active];","GRMN1402 German Beginners 2",,Nil.,,"GRMN2202 German Beginners Bridging Elective",
JAPN3408,"Japanese 8",162597,"MJD-JPNSP Japanese Studies (BA|*|) as core [Active]; 
MJD-JPNSI Japanese Studies (BA|*|) as core [Active];","JAPN3407 Japanese 7 or JAPN3307 Japanese Specialist I",,Nil.,,"JAPN3308 Japanese Specialist II",
MICR3310,"Microbial Ecology and One Health",159347,"MJD-MCBIM Microbiology and Immunology (BSc|*|BBiomedSc|*|) as core [Active]; 
MJD-BIOMS Biomedical Science (BSc|*|) as core in Microbiology and Immunology [Active]; 
MJD-MEDSI Medical Science (BBM|*|) as core in Microbiology & Immunology [Active];","MICR2208 Introductory Microbiology and MICR2209 Introduction to Infectious Diseases and Immunology",227684;227685;227686;227687;227688;227689;227690,Nil.,,Nil.,227684;227685;227686;227687;227688;227689;227690
JAPN3407,"Japanese 7",162598,"MJD-JPNSP Japanese Studies (BA|*|) as core [Active]; 
MJD-JPNSI Japanese Studies (BA|*|) as core [Active];","JAPN2406 Japanese 6 or JAPN2206 Japanese Advanced II",,Nil.,,"JAPN3307 Japanese Specialist I",
GRMN2404,"German Studies 4",161121,"MJD-GRMNB German Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-GRMNB German (BA|*|BCom|*|BSc|*|BBiomedSc|*|BAR|*|BMus|*|BBus|*|BEnvDes|*|BPPE|*|BEc|*|BEc (Advanced)|*|) as option [Active];","GRMN2403 German Studies 3",,Nil.,,"GRMN2204 German Intermediate II",
JAPN3406,"Japanese 6",160242,"MJD-JPNSB Japanese Studies (BA|*|) as core [Active];","JAPN3405 Japanese 5 or JAPN3305 Japanese Advanced I",,Nil.,,"JAPN3306 Japanese Advanced II",
JAPN3405,"Japanese 5",160241,"MJD-JPNSB Japanese Studies (BA|*|) as core [Active];","JAPN2404 Japanese 4 or JAPN2204 Japanese intermediate II",,Nil.,,"JAPN3305 Japanese Advanced I",
GRMN2405,"German Studies 5",161123,"MJD-GRMNI German Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-GRMNB German (BA|*|BCom|*|BSc|*|BBiomedSc|*|BAR|*|BMus|*|BBus|*|BEnvDes|*|BPPE|*|BEc|*|BEc (Advanced)|*|) as option [Active];","GRMN1404 German Studies 4 or GRMN1104 German Intermediate II",,Nil.,,"GRMN2205 German Advanced I",
MICR2208,"Introductory Microbiology",159489,"MJD-MCBIM Microbiology and Immunology (BSc|*|BBiomedSc|*|) as core [Active]; 
MJD-MEDSI Medical Science (BBM|*|) as core in Microbiology & Immunology [Active];","(SCIE1106 Molecular Biology of the Cell <i>and</i> one of BIOL1130 Frontiers in Biology (formerly BIOL1130 Core Concepts in Biology); ANHB1101 Human Biology I: Becoming Human; ANHB1102 Human Biology II: Being Human) 
OR
(IMED1001 Form and Function AND IMED1002 The Facts of Life )",252444;252445;252446;252447;252448;252449;252450;252451;252452;252453;252454;252455;252456;252457;252458;252459;252460;252461;252462;252463;252464;252465;252466;252467;252468;252469,Nil.,,"<i>for pre-2012 courses</i>: MICR2204 Introductory Microbiology",252444;252445;252446;252447;252448;252449;252450;252451;252452;252453;252454;252455;252456;252457;252458;252459;252460;252461;252462;252463;252464;252465;252466;252467;252468;252469
JAPN2406,"Japanese 6",160240,"MJD-JPNSP Japanese Studies (BA|*|BModLang|*|) as core [Active]; 
MJD-JPNSI Japanese Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-JALAC Japanese Language and Culture () as option [Active];","JAPN2405 Japanese 5 or JAPN2205 Japanese Advanced I",,Nil.,,"JAPN2206 Japanese Advanced II",
GRMN2406,"German Studies 6",162599,"MJD-GRMNI German Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-GRMNB German (BA|*|BCom|*|BSc|*|BBiomedSc|*|BAR|*|BMus|*|BBus|*|BEnvDes|*|BPPE|*|BEc|*|BEc (Advanced)|*|) as option [Active];","GRMN2405 German Studies 5 or GRMN2205 German Advanced I",,Nil.,,"GRMN2206 German Advanced II",
JAPN2405,"Japanese 5",160239,"MJD-JPNSP Japanese Studies (BA|*|BModLang|*|) as core [Active]; 
MJD-JPNSI Japanese Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-JALAC Japanese Language and Culture () as core [Active];","JAPN1404 Japanese 4 or JAPN1104 Japanese Intermediate II or JAPN2404 Japanese 4 or JAPN2204 Japanese Intermediate II",,Nil.,,"JAPN2205 Japanese Advanced I",
MICR3320,"Viruses and Viral Disease",162600,"MJD-MCBIM Microbiology and Immunology (BSc|*|BBiomedSc|*|) as core [Active]; 
MJD-BIOMS Biomedical Science (BSc|*|) as core in Microbiology and Immunology [Active]; 
MJD-MEDSI Medical Science (BBM|*|) as core in Microbiology & Immunology [Active];","(MICR2208 Introductory Microbiology, and MICR2209 Introduction to Infectious Diseases and Immunology); or Biomedical Science major Level 2 units",227356;227357;227358;227359;227360;227361;227362,Nil.,,"MICR3302 Infection and Immunity",227356;227357;227358;227359;227360;227361;227362
GRMN2407,"German Studies 7",161126,"MJD-GRMNA German Studies (BA|*|BModLang|*|) as option [Active];","GRMN1406 German Studies 6 or GRMN1106 German Advanced II or GRMN2409 German Studies 9 or GRMN2410 German Studies 10",,Nil.,,"GRMN2207 German Advanced III",
JAPN2404,"Japanese 4",160238,"MJD-JPNSB Japanese Studies (BA|*|) as core [Active]; 
MJD-JPNSP Japanese Studies (BA|*|) as core [Active];","JAPN2403 Japanese 3 or (JAPN1403 Japanese 3 and JAPN1001 Japanese 3A) or JAPN2203 Japanese Intermediate I",,Nil.,,"JAPN2204 Japanese Intermediate II",
GRMN2408,"German Studies 8",161128,"MJD-GRMNA German Studies (BA|*|BModLang|*|) as option [Active];","GRMN2407 German Studies 7 or GRMN2207 German Advanced III or GRMN2409 German Studies 9 or GRMN2410 German Studies 10",,Nil.,,"GRMN2208 German Advanced IV",
JAPN2403,"Japanese 3",160237,"MJD-JPNSB Japanese Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-JALAC Japanese Language and Culture () as option [Active];","JAPN1402 Japanese 2 or JAPN1102 Japanese Beginners II",,"JAPN2001 Japanese 3A",,"JAPN2203 Japanese Intermediate I",
ECON4418,"Macroeconomic Theory",166337,"HON-ECONS Business Economics (BCom (Hons)|*|) as option [Active]; 
HON-ECNPF Economics (BEc (Hons)|*|) as core [Active]; 
HON-FINEC Financial Economics (BEc (Hons)|*|) as core [Active]; 
42330 Graduate Diploma in Economics as core [Active]; 
42670 Master of Economics (coursework or coursework and dissertation) as core [Active] [unique];","Enrolment in the Bachelor of Commerce (Honours) (BH002) or completion of 144 points in the Bachelor of Philosophy (Honours) (BH005).
<i>
and
ECON3303 Applied Macroeconomics or ECON3272 Intermediate Mathematics for Economists; <i>for pre-2012 courses</i>: ECON3365 Macroeconomic Theory or ECON7492 Macroeconomic Theory and Applications",174127;174128;174129;174130;174131;174132;174133;174134;174135;174136;174137,Nil.,,Nil.,174127;174128;174129;174130;174131;174132;174133;174134;174135;174136;174137
JAPN2001,"Japanese 3A",160236,"MJD-JPNSB Japanese Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-JALAC Japanese Language and Culture () as core [Active];","JAPN1402 Japanese 2 or JAPN1102 Japanese Beginners II",,Nil,,"JAPN2201 Japanese Intermediate Bridging",
MICR3330,"Bacteria and Bacterial Disease",162601,"MJD-MCBIM Microbiology and Immunology (BSc|*|BBiomedSc|*|) as core [Active]; 
MJD-BIOMS Biomedical Science (BSc|*|) as core in Microbiology and Immunology [Active]; 
MJD-BIOMS Biomedical Science (BSc|*|) as core in Pathology and Laboratory Medicine [Active]; 
MJD-BIOMS Biomedical Science (BSc|*|) as option in Anatomy and Human Biology [Active]; 
MJD-BIOMS Biomedical Science (BSc|*|) as option in Pharmacology [Active]; 
MJD-BIOMS Biomedical Science (BSc|*|) as option in Physiology [Active]; 
MJD-MEDSI Medical Science (BBM|*|) as core in Microbiology & Immunology [Active];","(MICR2208 Introductory Microbiology, and MICR2209 Introduction to Infectious Diseases and Immunology); or Biomedical Science major Level 2 units",227337;227338;227339;227340;227341;227342;227343,Nil.,,"MICR3302 Infections and Immunity",227337;227338;227339;227340;227341;227342;227343
JAPN1001,"Japanese 3A",159809,"MJD-JPNSP Japanese Studies (BA|*|) as core [Active];","ATAR Japanese Year 11 or equivalent with approval of the unit coordinator",,"JAPN1403 Japanese 3",,"ATAR Japanese Year 12",
GRMN2002,"German Studies 3B",158711,"MJD-GRMNB German Studies (BA|*|BModLang|*|) as core [Active];","GRMN1402 German Beginners 2 or GRMN1102 German Beginners II",73891,"GRMN2403 German Studies 3",131821,"GRMN2202 German Beginners Bridging Elective",73891
JAPN1404,"Japanese 4",160227,"MJD-JPNSI Japanese Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-JALAC Japanese Language and Culture () as core [Active];","JAPN1403 Japanese 3 or JAPN1103 Japanese Intermediate I",,Nil.,,"JAPN1104 Japanese Intermediate II",
GRMN2812,"German Studies 12",162602,"MJD-GRMNI German Studies (BA|*|BModLang|*|) as core [Active]; 
MJD-GRMNA German Studies (BA|*|BModLang|*|) as core [Active];","GRMN1104 German Intermediate II or GRMN1404 German Studies 4 or GRMN1402 German Studies 2 or GRMN1102 German Beginners II or GRMN2203 German Intermediate I or GRMN1406 German Studies 6 or the consent of the convener",,Nil.,,"GRMN2213 German Youth on Stage",
JAPN1403,"Japanese 3",160225,"MJD-JPNSP Japanese Studies (BA|*|BModLang|*|) as core [Active]; 
MJD-JPNSI Japanese Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-JALAC Japanese Language and Culture () as core [Active];","ATAR Japanese Year 12  or (ATAR Japanese: Year 11 and co-requisite JAPN1001 Japanese 3A) or approval of the unit coordinator",,"JAPN1001 Japanese 3A if student has only completed ATAR Japanese Year 11",,"JAPN1103 Japanese Intermediate I or JAPN2203 Japanese Intermediate I",
JAPN1402,"Japanese 2",160218,"MJD-JPNSB Japanese Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-JALAC Japanese Language and Culture () as core [Active];","JAPN1401 Japanese 1 or JAPN1101 Japanese Beginners I",,Nil.,,"JAPN1102 Japanese Beginners II",
GRMN3405,"German Studies 5",161133,"MJD-GRMNB German Studies (BA|*|BModLang|*|) as core [Active];","GRMN2404 German Studies 4 or GRMN2204 German Intermediate II",,Nil.,,"GRMN3305 German Advanced I",
JAPN1401,"Japanese 1",162603,"MJD-JPNSB Japanese Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-JALAC Japanese Language and Culture () as core [Active];",Nil.,,Nil.,,"ATAR Japanese Year 11 or higher; JAPN1101 Japanese Beginners I",
GRMN3406,"German Studies 6",162604,"MJD-GRMNB German Studies (BA|*|BModLang|*|) as core [Active];","GRMN3405 German Studies 5 or GRMN3305 German Advanced I",,Nil.,,"GRMN3306 German Advanced II",
GRMN3407,"German Studies 7",161330,"MJD-GRMNI German Studies (BA|*|BModLang|*|) as option [Active]; 
MJD-GRMNA German Studies (BA|*|BModLang|*|) as option [Active];","GRMN2406 German Studies 6 or GRMN2206 German Advanced II or GRMN2409 German Studies 9 or GRMN2209 German Advanced Language I, GRMN2410 German Studies 10 or GRMN3410 German Studies 10",188254;188255;188256;188257;188258;188259,Nil.,,"GRMN2207 German Advanced III, GRMN3307 German Advanced III",188254;188255;188256;188257;188258;188259
GRMN3409,"German Studies 9",161139,"MJD-GRMNI German Studies (BA|*|BModLang|*|) as option [Active]; 
MJD-GRMNA German Studies (BA|*|BModLang|*|) as option [Active];","GRMN2406 German Studies 6 or GRMN2408 German Studies 8 or GRMN2206 German Advanced II or GRMN2208 German Advanced IV",,Nil.,,Nil.,
PUBH2216,"Communication and Project Planning in Health",158552,"MJD-PPHLH Public Health (BBiomedSc|*|) as core [Active]; 
MJD-ABHWB Aboriginal Health and Wellbeing (BBiomedSc|*|) as core [Active]; 
MNR-PEPIH Professional Engagement and Practice in Health () as core [Active];","completion of 24 points of Level 1 or Level 2 coursework, including at least one of (any PUBH unit or ANHB1101 Human Biology I: Becoming Human or ANHB1102 Human Biology II: Being Human or ANTH1101 Being Human: Culture, Identity and Society or ANTH1002 Global Change, Local Responses or PSYC1101 Psychology: Mind and Brain or PSYC1102 Psychology: Behaviour in Context or IMED1001 Form and Function or IMED1002 The Facts of Life)",163165;163166;163167;163168;163169;163170;163171;163172;163173;163174;163175;163176;163177;163178;163179;163180,Nil.,,"HSMD2216 Health Science Professional Practice",163165;163166;163167;163168;163169;163170;163171;163172;163173;163174;163175;163176;163177;163178;163179;163180
GRMN3408,"German Studies 8",161137,"MJD-GRMNI German Studies (BA|*|BModLang|*|) as option [Active]; 
MJD-GRMNA German Studies (BA|*|BModLang|*|) as option [Active];","GRMN3407 German Studies 7 or GRMN2207 German Advanced III or GRMN3307 German Advanced III or GRMN2409 German Studies 9 or GRMN2410 German Studies 10 or GRMN3409 German Studies 9 or GRMN3410 German Studies 10",,Nil.,,"GRMN2208 German Advanced IV, GRMN3308 German Advanced IV",
GRMN3410,"German Studies 10",161332;167147,"MJD-GRMNI German Studies (BA|*|BModLang|*|) as option [Active]; 
MJD-GRMNA German Studies (BA|*|BModLang|*|) as option [Active];","GRMN3409 German Studies 9 or GRMN2209 German Advanced Language I or GRMN3309 German Advanced Language I, GRMN2407 German Studies 7 or GRMN2408 German Studies 8",,Nil.,,Nil.,
GRMN3813,"German Studies 13",162605,"MJD-GRMNB German Studies (BA|*|BModLang|*|) as core [Active]; 
MJD-GRMNI German Studies (BA|*|BModLang|*|) as core [Active]; 
MJD-GRMNA German Studies (BA|*|BModLang|*|) as core [Active];","one of GRMN2204 German Intermediate II; GRMN2205 German Advanced I; GRMN2207 German Advanced III; GRMN2208 German Advanced IV; GRMN3307 German Advanced III; GRMN3308 German Advanced IV; GRMN2404 German Studies 4; GRMN2405 German Studies 5; GRMN2406 German Studies 6; GRMN2407 German Studies 7; GRMN2408 German Studies 8",,Nil.,,"GRMN2213 German Youth on Stage",
ACCT3321,"Financial Accounting: Theory and Practice",162606;162607,"MJD-ACCTG Accounting (BCom|*|) as option [Active];","ACCT2201 Corporate Accounting",,Nil.,,Nil.,
HRMT4401,"Special Topics in Human Resource Management Seminar",162608,"HON-HRSMT Human Resource Management (BCom (Hons)|*|) as core [Active];","enrolment in the Bachelor of Commerce (Honours) or completion of 144 points in the Bachelor of Philosophy (Honours)",,Nil.,,Nil.,
MGMT4401,"Special Topics in Management Seminar",162609,"HON-MGMNT Management (BCom (Hons)|*|) as core [Active]; 
HON-BMGMT Business Management (B.Bus (Hons)|*|) as core [Active]; 
HON-GLBUS Global Business (B.Bus (Hons)|*|) as core [Active]; 
HON-BUSAN Business Analytics (BCom (Hons)|*|) as core [Active];","enrolment in the Bachelor of Commerce (Honours) or completion of 144 points in the Bachelor of Philosophy (Honours)",,Nil.,,Nil.,
CHIN1401,"Chinese 1",162610,"MJD-CHNSB Chinese Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-CHLAC Chinese Language and Culture () as core [Active];",Nil.,,Nil.,,"WACE Chinese: Second Language CSL 2A/2B or higher; or CHIN1101 Chinese Beginners 1",
COMM3004,"Journalism and Strategic Communication",162611,"MJD-CMMST Communication and Media Studies (BA|*|) as option [Active];","(COMM2001 Communication and Mass Media or COMM2201 Communication and Mass Media) or (COMM2002 Digital Media or COMM2203 Digital Media) or or SCOM2205 Science Presentations or SCOM2208 Science Writing",56118;56119;56120;56121;56122;56123;56124;56125;56126;56127,Nil.,,Nil.,56118;56119;56120;56121;56122;56123;56124;56125;56126;56127
COMM1001,"Power, Participation and Meaning",160849,"MJD-CMMST Communication and Media Studies (BA|*|) as core [Active]; 
MJD-MECOM Media and Communication (BMC|*|) as core [Active];",Nil.,,Nil.,,"COMM1101 Human Technology: Debating Communication",
COMM1002,"Cultures, New Media and Communications",160850,"MJD-CMMST Communication and Media Studies (BA|*|) as core [Active]; 
MJD-MECOM Media and Communication (BMC|*|) as core [Active]; 
MJD-ARHCU Art History and Curatorial Studies (BA|*|) as option [Active]; 
MNR-DGCIT Digital Citizenship () as core [Active];",Nil.,,Nil.,,"COMM2202 Culture, New Media and Communications",
COMM2001,"Media Influence",160851,"MJD-CMMST Communication and Media Studies (BA|*|) as core [Active]; 
MJD-MECOM Media and Communication (BMC|*|) as core [Active];","COMM1101  Human Technology: Debating Communication or COMM1001 Human Technology: Debating Communication or COMM1001 Power, Participation and Meaning or COMM1002 Cultures, New Media and Communications or ENGL1112 Screen Cultures/Print Cultures or LING1101 Language and Communication",111988,Nil.,,"COMM2201 Communication and Mass Media",111988
COMM2002,"Digital Media",160852,"MJD-CMMST Communication and Media Studies (BA|*|) as core [Active]; 
MJS-SCCOM Science Communication (BSc|*|BBiomedSc|*|) as core [Active]; 
MJD-MECOM Media and Communication (BMC|*|) as core [Active]; 
MNR-CCCOM Cross Cultural Communication () as core [Active];","24 credit points at Level 1",,Nil.,,"COMM2203 Digital Media",
COMM3001,"Media Enterprise in Transition",162612,"MJD-CMMST Communication and Media Studies (BA|*|) as core [Active]; 
MJD-MECOM Media and Communication (BMC|*|) as core [Active];","(COMM2001 Communication and Mass Media or COMM2201 Communication and Mass Media) or (COMM2002 Digital Media or COMM2203 Digital Media)",56135;56136;56137;56138;56139;56140;56141,Nil.,,Nil.,56135;56136;56137;56138;56139;56140;56141
COMM3002,"Media Production Project",159491,"MJD-CMMST Communication and Media Studies (BA|*|) as option [Active]; 
MJD-MECOM Media and Communication (BMC|*|) as core [Active];","COMM2002 Digital Media or COMM2203 Digital Media",56170;56171;56172;56173;56174,Nil.,,"COMM3302 Communications Project",56170;56171;56172;56173;56174
COMM3003,"Designing Interactive Media",160853,"MJD-CMMST Communication and Media Studies (BA|*|) as option [Active]; 
MJD-MECOM Media and Communication (BMC|*|) as core [Active];","(COMM2001 Communication and Mass Media or COMM2201 Communication and Mass Media) or (COMM2002 Digital Media or COMM2203 Digital Media)",56163;56164;56165;56166;56167;56168;56169,Nil.,,"COMM3304 Designing Virtual Play",56163;56164;56165;56166;56167;56168;56169
CHIN1402,"Chinese 2",162613,"MJD-CHNSB Chinese Studies (BA|*|BModLang|*|) as core [Active]; 
MNR-CHLAC Chinese Language and Culture () as core [Active];","CHIN1401 Chinese 1 or CHIN1101 Chinese Beginners 1",,Nil.,,"CHIN1102 Chinese Beginners II",
